Player Img,Player Name,Role,Matches Played,Total Kills,KDA Ratio,Total Assists,Average Kills,Total Deaths,Average Deaths,Average Assists,Win Rate
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/wildcard-player/team-lilgun/new/cover_w368_h460_crop-poto_zxaura.png.webp,Zxaura,Jungler,7,14,2.00,15,2.14,30,4.29,2.90,86%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/btr/new/cover_w368_h460_crop-poto_super-uppa.png.webp,SUPPERUPPA,Gold Laner,7,14,2.00,18,2.57,12,1.71,1.40,61%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---triple-esport/new/cover_w368_h460_368x460_0008_tarzan.png.webp,Tarzannn,Jungler,7,14,2.00,20,2.86,29,4.14,2.20,57%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/btr/new/cover_w368_h460_crop-poto_buzizio.png.webp,Buzizio,Jungler,7,10,1.43,19,2.71,17,2.43,1.40,61%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/btr/new/cover_w368_h460_crop-poto_bllack.png.webp,Bllack,EXP Laner,7,9,1.29,22,3.14,17,2.43,1.20,51%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/wildcard-player/team-lilgun/new/cover_w368_h460_crop-poto_forbid.png.webp,Forbid,Mid Laner,7,8,1.14,12,1.71,34,4.86,3.50,88%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/wildcard-player/team-lilgun/new/cover_w368_h460_crop-poto_aizn.png.webp,Aizn,EXP Laner,7,8,1.14,17,2.43,19,2.71,1.60,59%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---burmese-ghouls/new/cover_w368_h460_crop-poto_carbon.png.webp,Carbon,EXP Laner,7,8,1.14,22,3.14,22,3.14,1.40,58%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/wildcard-player/team-lilgun/new/cover_w368_h460_crop-poto_ethan.png.webp,Ethan,Roamer,7,7,1.00,14,2.00,38,5.43,3.20,85%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/btr/new/cover_w368_h460_crop-poto_sindra.png.webp,Sindra,Mid Laner,7,5,0.71,9,1.29,26,3.71,3.40,65%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---triple-esport/new/cover_w368_h460_368x460_0007_trolll.png.webp,Trolll,Roamer,7,5,0.71,22,3.14,47,6.71,2.40,68%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/btr/new/cover_w368_h460_crop-poto_lunnaombotak.png.webp,LunnaOMBotak,Roamer,4,3,0.75,13,3.25,6,1.50,0.70,75%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/btr/new/cover_w368_h460_crop-poto_akashi.png.webp,Akashi,Gold Laner,3,1,0.33,14,4.67,21,7.00,1.60,69%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/blck/new/cover_w368_h460_crop-poto_hadji.png.webp,Hadji,Mid Laner,0,0,0.00,0,0.00,0,0.00,0.00,0.00%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/blck/new/cover_w368_h460_crop-poto_owl.png.webp,Owl,Gold Laner,0,0,0.00,0,0.00,0,0.00,0.00,0.00%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/deus/new/cover_w368_h460_crop-poto_lil.png.webp,Lil,Gold Laner,0,0,0.00,0,0.00,0,0.00,0.00,0.00%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/deus/new/cover_w368_h460_crop-poto_shisu1skie.png.webp,Shisu1Skie,EXP Laner,0,0,0.00,0,0.00,0,0.00,0.00,0.00%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---fire-flux/cover_w368_h460_368x460__0002_paranoid.png.webp,Paranoid,Jungler,0,0,0.00,0,0.00,0,0.00,0.00,0.00%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---homebois/new/cover_w368_h460_crop-poto_anip.png.webp,Anippp,Gold Laner,0,0,0.00,0,0.00,0,0.00,0.00,0.00%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---homebois/new/cover_w368_h460_crop-poto_vinz.png.webp,Vins,Mid Laner,0,0,0.00,0,0.00,0,0.00,0.00,0.00%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---onic/onic/cover_w368_h460_crop-poto_albert.png.webp,Alberttt,Gold Laner,0,0,0.00,0,0.00,0,0.00,0.00,0.00%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---rrq/new/cover_w368_h460_crop-poto_blink.png.webp,Blink,Roamer,0,0,0.00,0,0.00,0,0.00,0.00,0.00%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---see-you-soon/new/cover_w368_h460_crop-poto_runn.png.webp,RunTheKing,Gold Laner,0,0,0.00,0,0.00,0,0.00,0.00,0.00%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---see-you-soon/new/cover_w368_h460_crop-poto_tuzu.png.webp,Tuzu,Jungler,0,0,0.00,0,0.00,0,0.00,0.00,0.00%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---team-flash/cover_w368_h460_368x460_bloopymiku-new.png.webp,Bloopymiku,Mid Laner,0,0,0.00,0,0.00,0,0.00,0.00,0.00%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/wildcard-player/team-lilgun/new/cover_w368_h460_crop-poto_mrli.png.webp,MrLi,Mid Laner,0,0,0.00,0,0.00,0,0.00,0.00,0.00%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/wildcard-player/team-smg/new/cover_w368_h460_crop-poto_subway.png.webp,Subway,Jungler,0,0,0.00,0,0.00,0,0.00,0.00,0.00%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---tob/new/cover_w368_h460_crop-poto_wrath.png.webp,Wrath,Roamer,0,0,0.00,0,0.00,0,0.00,0.00,0.00%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---triple-esport/new/cover_w368_h460_crop-poto_fury.png.webp,Fury,Gold Laner,0,0,0.00,0,0.00,0,0.00,0.00,0.00%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---triple-esport/new/cover_w368_h460_crop-poto_krauser.png.webp,Krauser,EXP Laner,0,0,0.00,0,0.00,0,0.00,0.00,0.00%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/ap-bren/new/cover_w368_h460_crop-poto_pandora.png.webp,Pando,EXP Laner,0,0,0,0,0,0,0,0,0.00%
